City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
163,Bengkulu,ID,75.02,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
164,Izmir,TR,101.64,clear sky,38.4622,27.0923,Blue City Boutique Hotel
165,Turukhansk,RU,54.3,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
167,Moindou,NC,55.35,broken clouds,-21.6924,165.677,Gite de la RYAWA
168,Gizo,SB,79.68,moderate rain,-8.103,156.8419,Imagination Island
169,Sambava,MG,69.06,light rain,-14.2667,50.1667,Melrose
170,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
173,Sibolga,ID,74.52,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
174,Lourdes,FR,73.94,overcast clouds,43.1,-0.05,"Hôtel Saint Etienne, Lourdes"
175,Butaritari,KI,82.67,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
178,Velyka Bahachka,UA,81.66,scattered clouds,49.7912,33.7226,"Ooo Sanatoriy ""Psʹol"""
179,Big Spring,US,82.27,thunderstorm,32.2504,-101.4787,Hampton Inn & Suites Big Spring
180,Hambantota,LK,80.33,overcast clouds,6.1241,81.1185,Bungalow 63
182,Bonthe,SL,77.49,light rain,7.5264,-12.505,Bonthe Holiday Village
183,Barrow,US,51.82,overcast clouds,71.2906,-156.7887,King Eider Inn
184,Qasigiannguit,GL,59.25,scattered clouds,68.8193,-51.1922,Hotel Diskobay
185,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
186,Mayo,US,78.03,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
188,Ajdabiya,LY,82.35,clear sky,30.7554,20.2263,Almadina Hotel
189,Gorontalo,ID,74.98,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
190,Waddan,LY,97.32,clear sky,29.1614,16.139,محل الشريف محمد العايب
191,Rio Rancho,US,80.51,clear sky,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
192,Haines Junction,CA,60.75,broken clouds,60.7522,-137.5108,Parkside Inn
193,Usinsk,RU,51.53,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
195,Marechal Candido Rondon,BR,69.26,overcast clouds,-24.5561,-54.0567,Hotel Bender
196,Farsund,NO,61.95,scattered clouds,58.0948,6.8047,Farsund Fjordhotel
197,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
198,Faanui,PF,77.56,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
199,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
200,Half Moon Bay,US,77.05,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
201,Charsadda,PK,84.81,scattered clouds,34.1435,71.7317,SHAHRIYAR KHAN HASTNAGAR
203,Qui Nhon,VN,85.62,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
204,Buritizeiro,BR,81.37,clear sky,-17.3511,-44.9622,Santos Palace Hotel
207,Tezu,IN,76.6,few clouds,27.9167,96.1667,Circuit House
208,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Punto de encuentro
209,Iranshahr,IR,102.54,scattered clouds,27.2025,60.6848,نیک سرشت
